Type of Soil,Area Ploughed (in acres),Average Rainfall (in mm),Season,Type of Seeds,Type of Transplanting Method,Type of Irrigation Method,Type of Fertilizers Used,Yield Category
Laterite Soil,17.35,230.3,Zaid,Foundation Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,2.16,649.8,Kharif,Breeder Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,7.87,764.7,Zaid,Hybrid Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,17.85,636.2,Kharif,Hybrid Seeds,Machine,Canal Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,2.15,819.9,Kharif,Foundation Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Black Soil,14.76,912.9,Zaid,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,8.97,64.4,Zaid,Breeder Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,15.71,722.9,Rabi,Hybrid Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Red and Yellow Soil,1.62,1447.1,Zaid,Breeder Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,21.85,802.6,Rabi,Hybrid Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Laterite Soil,24.35,1032.4,Zaid,Open-Pollinated Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,24.24,502.2,Kharif,Hybrid Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,18.87,1172.3,Zaid,Hybrid Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,High
Black Soil,3.69,1170.7,Kharif,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Very High
Laterite Soil,19.08,805.9,Kharif,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Black Soil,1.1,1465.2,Kharif,Foundation Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Very High
Laterite Soil,1.04,232.0,Rabi,Foundation Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,8.43,74.6,Zaid,Open-Pollinated Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,12.47,1166.7,Kharif,Foundation Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Laterite Soil,19.37,1220.4,Kharif,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,High
Black Soil,17.24,224.3,Rabi,Foundation Seeds,Machine,Drip Irrigation,Organic Fertilizers,High
