Ownership of Land,Land Owned (in acres),Location,Types of Fertilizers Used,Owning Farming Equipment,Annual Income (in INR),Bank Loan (in INR),Ownership of Livestock,Previous Subsidy Eligibility,Subsidy Eligibility
Yes,3.35,Assam,Organic,No,292507.05,96398.98,No,No,NFSM
No,37.5,Haryana,Organic,No,491836.98,14092.14,No,No,PM Krishi Sinchayee Yojana
Yes,10.5,Assam,Bioinputs,No,128384.63,55628.73,Yes,Yes,RKVY
Yes,44.9,Maharashtra,Bioinputs,No,343828.23,64901.33,No,No,PM Krishi Sinchayee Yojana
Yes,10.26,West Bengal,Bioinputs,Yes,360832.5,189024.49,Yes,No,PM Krishi Sinchayee Yojana
No,9.53,Madhya Pradesh,Chemical,Yes,307588.96,56533.47,Yes,Yes,Kisan Credit Card Subsidy
Yes,1.83,Madhya Pradesh,Chemical,No,53403.39,92173.75,No,Yes,RKVY
Yes,23.6,Arunachal Pradesh,Organic,No,341667.42,134260.88,No,No,PM Krishi Sinchayee Yojana
Yes,28.24,Madhya Pradesh,Bioinputs,Yes,41406.41,32436.67,Yes,No,NFSM
No,3.29,Delhi,Organic,Yes,302109.9,97288.48,Yes,Yes,NFSM
Yes,38.78,Odisha,Bioinputs,Yes,372394.78,147707.81,No,Yes,NFSM
Yes,22.66,Uttarakhand,Bioinputs,Yes,113375.25,173371.04,Yes,Yes,RKVY
Yes,26.22,Goa,Bioinputs,No,422394.78,125251.85,No,Yes,NFSM
Yes,22.04,Meghalaya,Chemical,No,24873.36,133810.7,No,No,NFSM
No,20.04,Arunachal Pradesh,Chemical,Yes,423468.3,25256.69,Yes,Yes,Kisan Credit Card Subsidy
Yes,27.98,Haryana,Bioinputs,Yes,235561.23,189155.3,No,No,PM Krishi Sinchayee Yojana
No,7.76,Mizoram,Organic,Yes,116618.09,26514.82,No,No,PM Krishi Sinchayee Yojana
No,9.1,Tamil Nadu,Bioinputs,Yes,75551.29,154934.59,No,No,Kisan Credit Card Subsidy
No,43.09,Arunachal Pradesh,Bioinputs,Yes,477120.51,52963.26,Yes,Yes,Kisan Credit Card Subsidy
Yes,47.31,Jharkhand,Organic,Yes,45606.14,186718.63,Yes,Yes,Soil Health Card Scheme
No,18.67,West Bengal,Bioinputs,No,107555.78,143991.91,Yes,No,NFSM
Yes,13.54,Meghalaya,Organic,No,180432.95,150762.74,No,No,Kisan Credit Card Subsidy
No,32.2,Goa,Chemical,No,313915.08,43811.83,Yes,No,PM Krishi Sinchayee Yojana
No,20.44,West Bengal,Chemical,Yes,276952.53,88608.0,Yes,No,PM Krishi Sinchayee Yojana
No,1.27,Arunachal Pradesh,Organic,Yes,71565.31,123562.64,Yes,No,NFSM
No,7.81,Arunachal Pradesh,Chemical,Yes,151966.71,153994.72,No,Yes,NFSM
No,35.8,Uttar Pradesh,Chemical,No,126988.37,20791.88,No,Yes,Kisan Credit Card Subsidy
No,32.95,Madhya Pradesh,Organic,Yes,114636.0,192473.06,Yes,Yes,Soil Health Card Scheme
No,1.35,Telangana,Chemical,Yes,211460.72,178044.13,Yes,No,Kisan Credit Card Subsidy
No,11.1,Manipur,Bioinputs,No,354975.41,54069.72,Yes,No,PM Krishi Sinchayee Yojana
Yes,11.55,Chandigarh,Bioinputs,Yes,116551.94,164552.05,No,Yes,Soil Health Card Scheme
Yes,33.59,West Bengal,Organic,No,189672.65,103664.78,Yes,Yes,Soil Health Card Scheme
No,0.99,Arunachal Pradesh,Chemical,No,201549.54,92361.3,No,No,Kisan Credit Card Subsidy
No,5.21,Gujarat,Bioinputs,Yes,488463.7,62886.82,No,Yes,Kisan Credit Card Subsidy
No,40.0,Assam,Bioinputs,No,477786.51,116193.72,No,Yes,PM Krishi Sinchayee Yojana
Yes,8.93,Haryana,Chemical,Yes,402067.42,145977.82,Yes,Yes,NFSM
No,32.64,Tamil Nadu,Chemical,No,128412.87,82186.58,Yes,No,NFSM
Yes,11.91,Maharashtra,Bioinputs,Yes,43338.28,125843.84,No,No,NFSM
Yes,4.97,Telangana,Bioinputs,No,165283.03,139862.58,No,Yes,RKVY
Yes,12.16,Puducherry,Organic,Yes,140729.33,142224.36,No,No,Soil Health Card Scheme
Yes,36.11,Tamil Nadu,Organic,No,257903.64,10393.22,No,Yes,Kisan Credit Card Subsidy
Yes,42.78,Uttarakhand,Bioinputs,No,391086.68,171949.56,Yes,Yes,NFSM
No,41.51,Sikkim,Organic,No,430578.24,91650.66,Yes,No,Kisan Credit Card Subsidy
No,19.86,Delhi,Bioinputs,Yes,423983.4,52483.22,No,No,Kisan Credit Card Subsidy
No,33.4,Gujarat,Bioinputs,Yes,186241.02,48352.9,No,No,PM Krishi Sinchayee Yojana
No,10.25,Rajasthan,Organic,No,346744.83,96602.82,No,Yes,PM Krishi Sinchayee Yojana
No,14.66,Gujarat,Organic,Yes,163288.76,177366.31,Yes,Yes,Soil Health Card Scheme
Yes,44.82,Andhra Pradesh,Chemical,No,39843.72,75669.52,No,Yes,Soil Health Card Scheme
No,0.65,Mizoram,Chemical,Yes,353766.98,149945.15,Yes,No,Kisan Credit Card Subsidy
No,4.28,Himachal Pradesh,Chemical,No,14815.5,19363.75,No,Yes,NFSM
Yes,10.39,Puducherry,Bioinputs,Yes,210499.47,95211.34,Yes,Yes,Kisan Credit Card Subsidy
No,1.33,Rajasthan,Organic,No,171395.84,198337.23,Yes,Yes,RKVY
Yes,9.07,Madhya Pradesh,Bioinputs,No,349754.99,154087.56,No,Yes,NFSM
No,29.15,Rajasthan,Organic,No,385460.28,42105.7,Yes,No,PM Krishi Sinchayee Yojana
Yes,21.07,Odisha,Bioinputs,No,159006.37,100288.29,Yes,No,Soil Health Card Scheme
No,44.63,Rajasthan,Chemical,Yes,407697.24,46724.95,Yes,No,PM Krishi Sinchayee Yojana
No,40.87,Odisha,Chemical,No,154019.21,81912.19,Yes,Yes,NFSM
Yes,17.09,Tripura,Chemical,Yes,228699.92,156016.8,No,Yes,NFSM
Yes,12.97,Tripura,Bioinputs,Yes,366239.08,154244.96,No,Yes,Kisan Credit Card Subsidy
Yes,18.98,Sikkim,Organic,No,349530.91,45620.08,No,No,PM Krishi Sinchayee Yojana
Yes,29.51,Chandigarh,Organic,Yes,493810.55,184444.66,No,No,Kisan Credit Card Subsidy
Yes,13.4,Mizoram,Chemical,Yes,120328.9,118513.64,No,No,Kisan Credit Card Subsidy
Yes,31.21,Tamil Nadu,Chemical,Yes,334535.78,75984.86,Yes,No,Kisan Credit Card Subsidy
Yes,20.47,Tamil Nadu,Chemical,No,308744.14,100387.12,Yes,No,Kisan Credit Card Subsidy
Yes,27.6,Puducherry,Chemical,Yes,458398.24,121014.25,Yes,Yes,NFSM
No,21.81,Jharkhand,Organic,Yes,86617.45,111978.11,Yes,No,Kisan Credit Card Subsidy
No,14.72,Jharkhand,Bioinputs,No,378381.1,97281.01,No,No,PM Krishi Sinchayee Yojana
Yes,47.42,Bihar,Bioinputs,No,288451.62,100986.56,No,No,Kisan Credit Card Subsidy
No,38.18,Haryana,Bioinputs,Yes,144586.28,35282.38,Yes,Yes,NFSM
No,7.01,Sikkim,Bioinputs,No,242473.11,162546.58,No,No,PM Krishi Sinchayee Yojana
No,43.42,Punjab,Chemical,Yes,173550.53,108352.06,Yes,No,Kisan Credit Card Subsidy
No,24.37,Punjab,Chemical,Yes,293863.57,26215.97,Yes,No,PM Krishi Sinchayee Yojana
Yes,44.73,Nagaland,Chemical,Yes,445610.3,153231.42,No,Yes,Kisan Credit Card Subsidy
No,39.99,Maharashtra,Bioinputs,No,288959.44,186488.8,No,Yes,PM Krishi Sinchayee Yojana
Yes,21.26,Nagaland,Chemical,Yes,319543.98,189461.38,No,No,Kisan Credit Card Subsidy
No,1.12,West Bengal,Chemical,No,264186.45,73803.55,No,No,Kisan Credit Card Subsidy
